Erechim,"Erechim Comandante Kraemer, Brazil (ERM)",ERM,-27.583333,-52.016667,America/Sao_Paulo
Erenhot Shi,"Erenhot Shi Saiwusu, China (ERL)",ERL,43.4233333,112.091111,Asia/Shanghai
Erfurt,"Erfurt-Weimar, Germany (ERF)",ERF,50.9797222,10.9580556,Europe/Berlin
Erie,"Erie International, PA (ERI)",ERI,42.0819444,-80.176111,America/New_York
Erzurum,"Erzurum, Turkey (ERZ)",ERZ,39.9563889,41.1702778,Europe/Istanbul
Escanaba,"Escanaba Delta County, MI (ESC)",ESC,45.7166667,-87.083333,America/New_York
Isfahan,"Esfahan Shahid Beheshti International, Iran (IFN)",IFN,32.75,51.6333333,Asia/Tehran
Eugene,"Eugene, OR (EUG)",EUG,44.1247222,-123.21194,America/Los_Angeles
Basel,"EuroAirport Swiss, Switzerland (BSL)",BSL,47.5833333,7.53333333,Europe/Zurich
Evansville,"Evansville Dress Regional, IN (EVV)",EVV,38.0369444,-87.5325,America/Chicago
Excursion Inlet,"Excursion Inlet Sea Plane Base, AK (EXI)",EXI,58.4166667,-135.43333,America/Anchorage
Exeter,"Exeter, United Kingdom (EXT)",EXT,50.7344444,-3.4138889,Europe/London
Faaite Island,"Faaite, French Polynesia (FAC)",FAC,-16.683333,-145.33333,Pacific/Tahiti
Fairbanks,"Fairbanks International, AK (FAI)",FAI,64.815,-147.85639,America/Anchorage
Fak Fak,"Fak Fak, Indonesia (FKQ)",FKQ,-2.9202778,132.266944,Asia/Jayapura
Fakahina,"Fakahina, French Polynesia (FHZ)",FHZ,-16,-140,Pacific/Tahiti
Fakarava,"Fakarava, French Polynesia (FAV)",FAV,-16.054167,-145.65694,Pacific/Tahiti
Fangatau,"Fangatau, French Polynesia (FGU)",FGU,-15.824167,-140.89,Pacific/Tahiti
Fargo,"Fargo Hector Field, ND (FAR)",FAR,46.9205556,-96.815833,America/Chicago
Farmington,"Farmington Municipal, NM (FMN)",FMN,36.75,-108.23333,America/Denver
Faro,"Faro, Portugal (FAO)",FAO,37.0144444,-7.9658333,Europe/Lisbon
Faroe Islands,"Faroe Islands Vagar, Faeroe Islands (FAE)",FAE,62.0636111,-7.2772222,Atlantic/Faroe
Fayetteville,"Fayetteville Municipal, NC (FAY)",FAY,34.9911111,-78.880278,America/New_York
Fayetteville,"Fayetteville NW Arkansas Reg'l, AR (XNA)",XNA,36.2816667,-94.306667,America/Chicago
Fera Island,"Fera Island, Solomon Islands (FRE)",FRE,-8.1075,159.577222,Pacific/Guadalcanal
Fergana,"Fergana, Uzbekistan (FEG)",FEG,40.3613889,71.7447222,Asia/Samarkand
Fernando de Noronha,"Fernando de Noronha, Brazil (FEN)",FEN,-3.855,-32.423333,America/Noronha
Fez,"Fes Saiss, Morocco (FEZ)",FEZ,33.9272222,-4.9780556,Africa/Casablanca
Figari,"Figari Sud-Corse, France (FSC)",FSC,41.5022222,9.09666667,Europe/Paris
Flint,"Flint Bishop, MI (FNT)",FNT,42.9655556,-83.743611,America/New_York
